county_name,sample_date,parameter,result,reporting_limit,units
Alameda,08/11/1976 09:00,Total Hardness,639,1.00000000,mg/L as CaCO3
Alameda,08/17/1978 14:00,Total Hardness,552,1.00000000,mg/L as CaCO3
Alameda,07/19/1974 13:05,Total Hardness,138,1.00000000,mg/L as CaCO3
Alameda,08/11/1976 13:10,Total Hardness,136,1.00000000,mg/L as CaCO3
Alameda,08/17/1978 15:00,Total Hardness,138,1.00000000,mg/L as CaCO3
Alameda,09/21/1971 09:15,Total Hardness,357,1.00000000,mg/L as CaCO3
Alameda,07/26/1977 09:15,Total Hardness,351,1.00000000,mg/L as CaCO3
Alameda,09/18/1973 09:45,Total Hardness,636,1.00000000,mg/L as CaCO3
Alameda,09/22/1971 12:00,Total Hardness,679,1.00000000,mg/L as CaCO3
Alameda,10/02/1975 13:00,Total Hardness,594,1.00000000,mg/L as CaCO3
Alameda,07/25/1977 09:45,Total Hardness,350,1.00000000,mg/L as CaCO3
Alameda,09/18/1967 15:00,Total Hardness,480,1.00000000,mg/L as CaCO3
Alameda,09/22/1971 07:45,Total Hardness,360,1.00000000,mg/L as CaCO3
Alameda,08/02/1976 11:40,Total Hardness,543,1.00000000,mg/L as CaCO3
Alameda,08/05/1974 10:50,Total Hardness,573,1.00000000,mg/L as CaCO3
Alameda,10/01/1970 00:00,Total Hardness,738,1.00000000,mg/L as CaCO3
Alameda,09/18/1967 00:00,Total Hardness,1293,1.00000000,mg/L as CaCO3
Alameda,09/29/1971 08:00,Total Hardness,355,1.00000000,mg/L as CaCO3
Alameda,10/16/1957 10:20,Total Hardness,303,1.00000000,mg/L as CaCO3
Alameda,03/04/1965 08:50,Total Hardness,192,1.00000000,mg/L as CaCO3
Alameda,03/06/1961 10:00,Total Hardness,272,1.00000000,mg/L as CaCO3
Alameda,03/07/1963 11:20,Total Hardness,265,1.00000000,mg/L as CaCO3
Alameda,03/07/1967 10:25,Total Hardness,214,1.00000000,mg/L as CaCO3
Alameda,03/09/1966 10:45,Total Hardness,196,1.00000000,mg/L as CaCO3
Alameda,03/10/1964 00:00,Total Hardness,245,1.00000000,mg/L as CaCO3
Alameda,03/15/1962 11:15,Total Hardness,292,1.00000000,mg/L as CaCO3
Alameda,06/03/1966 08:30,Total Hardness,212,1.00000000,mg/L as CaCO3
